id,name,nationality,club
253306,M. Ugarte,Uruguay,PSG
228881,D. Calabria,Italy,MIL
229984,B. Chilwell,England,CHE
233064,M. Mount,England,MUN
233195,X. Schlager,Austria,RBL
206585,Kepa,Spain,MAD
208920,N. Aké,Netherlands,MCI
233096,D. Dumfries,Netherlands,INT
120533,Pepe,Portugal,POR
179645,S. Kjær,Denmark,MIL
184941,A. Sánchez,Chile,INT
192883,H. Mkhitaryan,Armenia,INT
197655,S. Coates,Uruguay,SLI
199304,Danilo,Brazil,JUV
200260,S. Berghuis,Netherlands,AJA
200888,Danilo Pereira,Portugal,PSG
201455,G. Kondogbia,Central African Republic,OLM
205175,A. Milik,Poland,JUV
207421,L. Trossard,Belgium,ARS
208618,Lucas Vázquez,Spain,MAD
215316,G. Rulli,Argentina,AJA
221992,H. Lozano,Mexico,PSV
226271,Fabián Ruiz,Spain,PSG
236045,Reinildo,Mozambique,ATM
239093,J. Clauss,France,OLM
251852,K. Adeyemi,Germany,DOR
256903,Gonçalo Ramos,Portugal,PSG
239807,D. Frattesi,Italy,INT
246191,J. Álvarez,Argentina,MCI
231410,Brahim,Spain,MAD
234569,Florentino,Portugal,SLB
235619,M. Edwards,England,SLI
256079,M. Caicedo,Ecuador,CHE
234574,Diogo Dalot,Portugal,MUN
246186,Arthur Cabral,Brazil,SLB
247103,D. Hancko,Slovakia,FEY
255253,Vitinha,Portugal,PSG
224158,S. Amrabat,Morocco,MUN
229880,A. Wan-Bissaka,England,MUN
231936,B. White,England,ARS
220901,David Raya,Spain,ARS
221087,Pau López,Spain,OLM
227813,O. Zinchenko,Ukraine,ARS
210897,C. Mbemba,Congo DR,OLM
211300,A. Martial,France,MUN
221660,V. Lindelöf,Sweden,MUN
236632,David Neres,Brazil,SLB
238896,Pepê,Brazil,POR
178086,Adán,Spain,SLI
184200,M. Arnautović,Austria,INT
184392,M. Darmian,Italy,INT
188567,P. Aubameyang,Gabon,OLM
193082,J. Cuadrado,Colombia,INT
197061,J. Matip,Cameroon,LIV
199564,Sergi Roberto,Spain,FCB
199576,Oriol Romeu,Spain,FCB
201519,J. Veretout,France,OLM
204923,M. Sabitzer,Austria,DOR
205431,N. Füllkrug,Germany,DOR
208421,Saúl,Spain,ATM
208448,E. Forsberg,Sweden,RBL
211256,N. Tagliafico,Argentina,LYO
223874,V. Rongier,France,OLM
224196,R. Bensebaini,Algeria,DOR
227890,Nuno Santos,Portugal,SLI
232487,W. Endo,Japan,LIV
245367,X. Simons,Netherlands,RBL
246104,R. Gravenberch,Netherlands,LIV
243854,M. Simakan,France,RBL
248695,W. Fofana,France,CHE
251805,J. Timber,Netherlands,ARS
257179,Gonçalo Inácio,Portugal,SLI
241187,L. Geertruida,Netherlands,FEY
256325,J. Šutalo,Croatia,AJA
225100,J. Gomez,England,LIV
229942,A. Disasi,France,CHE
242187,C. Baumgartner,Austria,RBL
253124,Matheus Nunes,Portugal,MCI
258648,Carlos Augusto,Brazil,INT
239231,Cucurella,Spain,CHE
245235,A. Bah,Denmark,SLB
224081,K. Phillips,England,MCI
225953,S. Bergwijn,Netherlands,AJA
227796,C. Pulisic,United States,MIL
228093,M. Thuram,France,INT
228413,E. Audero,Italy,INT
228789,Robert Sánchez,Spain,CHE
237238,S. McTominay,Scotland,MUN
251573,Renan Lodi,Brazil,OLM
222331,L. Klostermann,Germany,RBL
224411,Gonçalo Guedes,Portugal,SLB
226166,N. Mukiele,France,PSG
198009,M. Perin,Italy,JUV
215223,W. Benítez,Argentina,PSV
222509,Dani Ceballos,Spain,MAD
230625,Matheus Reis,Brazil,SLI
231913,F. Aursnes,Norway,SLB
234153,Carlos Soler,Spain,PSG
177413,A. Witsel,Belgium,ATM
184432,Azpilicueta,Spain,ATM
189805,L. de Jong,Netherlands,PSV
192638,Marcos Alonso,Spain,FCB
195365,K. Kampl,Slovenia,RBL
199813,G. Trauner,Austria,FEY
200159,S. Ortega,Germany,MCI
203263,H. Maguire,England,MUN
219683,C. Tolisso,France,LYO
270086,António Silva,Portugal,SLB
236610,M. Kean,Italy,JUV
242578,B. Badiashile,France,CHE
243780,Lee Kang In,Korea Republic,PSG
245541,G. Reyna,United States,DOR
246606,Fran García,Spain,MAD
255654,P. Kalulu,France,MIL
256612,Evanilson,Brazil,POR
259197,N. Jackson,Senegal,CHE
240273,E. Smith Rowe,England,ARS
245152,S. Giménez,Mexico,FEY
232229,J. Bijlow,Netherlands,FEY
232938,T. Tomiyasu,Japan,ARS
238041,T. Malacia,Netherlands,MUN
238216,C. Gallagher,England,CHE
239380,N. Lang,Netherlands,PSV
246646,M. Caqueret,France,LYO
247138,Fran Navarro,Spain,POR
253109,J. Veerman,Netherlands,PSV
236703,D. Raum,Germany,RBL
238463,A. Haidara,Mali,RBL
240638,T. Reijnders,Netherlands,MIL
235407,S. Özcan,Turkey,DOR
239482,Galeno,Brazil,POR
245279,Reguilón,Spain,MUN
228579,B. Henrichs,Germany,RBL
219581,S. Gigot,France,OLM
183569,E. Choupo-Moting,Cameroon,BAY
191043,Alex Sandro,Brazil,JUV
195086,D. Lovren,Croatia,LYO
224425,M. Wolf,Germany,DOR
229158,B. van den Boomen,Netherlands,AJA
229758,R. Krunić,Bosnia and Herzegovina,MIL
229857,S. Sensi,Italy,INT
242087,H. Morita,Japan,SLI
264309,A. Güler,Turkey,MAD
240833,Y. Moukoko,Germany,DOR
260823,N. Fagioli,Italy,JUV
244669,M. Hjulmand,Denmark,SLI
246174,H. Elliott,England,LIV
246420,J. Doku,Belgium,MCI
250753,A. Trubin,Ukraine,SLB
252324,Riquelme,Spain,ATM
254796,N. Madueke,England,CHE
256261,M. Thiaw,Germany,MIL
262138,C. Lukeba,France,RBL
244778,Trincão,Portugal,SLI
246863,F. Nmecha,Germany,DOR
251445,Samuel Lino,Brazil,ATM
242434,C. Jones,England,LIV
256958,Fábio Vieira,Portugal,ARS
271400,Igor Paixão,Brazil,FEY
230918,T. Chalobah,England,CHE
257290,João Mário,Portugal,POR
232432,L. Jović,Serbia,MIL
241707,P. Gueye,Senegal,OLM
